visit,detector,filename,annotation
2025070300555,77,2025070300555_77_likely_good.png,
2025050100348,102,2025050100348_102_likely_good.png,
2025051900252,83,2025051900252_83_likely_bad.png,
2025122300403,42,2025122300403_42_likely_good.png,
2025070400536,25,2025070400536_25_likely_bad.png,
2025070700476,53,2025070700476_53_likely_bad.png,
2025052300197,119,2025052300197_119_likely_good.png,
2025052300267,185,2025052300267_185_likely_good.png,
2025070700282,73,2025070700282_73_likely_bad.png,
2025071100848,84,2025071100848_84_likely_bad.png,
2025071300428,183,2025071300428_183_likely_good.png,
2025070600259,89,2025070600259_89_likely_good.png,
2025071300253,126,2025071300253_126_likely_good.png,
2025062100344,49,2025062100344_49_likely_good.png,
2025052000205,13,2025052000205_13_likely_bad.png,
2025110900396,178,2025110900396_178_likely_good.png,
2025070800305,184,2025070800305_184_likely_bad.png,
2025081000261,141,2025081000261_141_likely_bad.png,
2025070300658,10,2025070300658_10_likely_bad.png,
2025111400181,141,2025111400181_141_likely_good.png,
2025071700415,7,2025071700415_7_likely_good.png,
2025050200777,187,2025050200777_187_likely_bad.png,
2025070300357,39,2025070300357_39_likely_bad.png,
2025082600442,129,2025082600442_129_likely_good.png,
2025071700422,95,2025071700422_95_likely_good.png,
2025052300105,49,2025052300105_49_likely_good.png,
2026010100399,121,2026010100399_121_likely_good.png,
2025052300344,92,2025052300344_92_likely_good.png,
2025071200270,99,2025071200270_99_likely_good.png,
2025052300267,8,2025052300267_8_likely_good.png,
2025110100144,104,2025110100144_104_likely_bad.png,
2025070700130,78,2025070700130_78_likely_bad.png,
2025052300344,37,2025052300344_37_likely_good.png,
2025070700436,77,2025070700436_77_likely_bad.png,
2025112500299,187,2025112500299_187_likely_good.png,
2025112100147,46,2025112100147_46_likely_good.png,
2026010400465,130,2026010400465_130_likely_good.png,
2025070300425,112,2025070300425_112_likely_bad.png,
2025072800159,175,2025072800159_175_likely_bad.png,
2025070100415,76,2025070100415_76_likely_good.png,
2025122300403,147,2025122300403_147_likely_good.png,
2025120200358,154,2025120200358_154_likely_good.png,
2025070900465,38,2025070900465_38_likely_bad.png,
2025072200309,25,2025072200309_25_likely_good.png,
2025072000386,186,2025072000386_186_likely_good.png,
2025081600241,39,2025081600241_39_likely_good.png,
2025072100224,186,2025072100224_186_likely_good.png,
2025112400362,148,2025112400362_148_likely_good.png,
2025072100563,154,2025072100563_154_likely_bad.png,
2025071700195,64,2025071700195_64_likely_good.png,
2025071700164,37,2025071700164_37_likely_good.png,
2025071000401,2,2025071000401_2_likely_bad.png,
2025052100143,131,2025052100143_131_likely_good.png,
2025070100606,45,2025070100606_45_likely_good.png,
2025072200193,176,2025072200193_176_likely_good.png,
2025050100551,82,2025050100551_82_likely_good.png,
2025070600117,32,2025070600117_32_likely_good.png,
2025070600033,53,2025070600033_53_likely_bad.png,
2025070700232,162,2025070700232_162_likely_bad.png,
2025122400368,141,2025122400368_141_likely_good.png,
2025052501023,52,2025052501023_52_likely_good.png,
2025090400090,132,2025090400090_132_likely_good.png,
2025052000314,37,2025052000314_37_likely_good.png,
2025070800101,179,2025070800101_179_likely_good.png,
2025111600436,32,2025111600436_32_likely_good.png,
2025071100803,32,2025071100803_32_likely_bad.png,
2025042500576,9,2025042500576_9_likely_good.png,
2025082800179,186,2025082800179_186_likely_bad.png,
2025070600043,109,2025070600043_109_likely_bad.png,
2025102600336,97,2025102600336_97_likely_good.png,
2025110400441,104,2025110400441_104_likely_good.png,
2025123000170,105,2025123000170_105_likely_good.png,
2025050200784,38,2025050200784_38_likely_good.png,
2025110300248,101,2025110300248_101_likely_bad.png,
2025042800272,142,2025042800272_142_likely_good.png,
2025070700282,28,2025070700282_28_likely_bad.png,
2025071100368,134,2025071100368_134_likely_good.png,
2025070700704,110,2025070700704_110_likely_good.png,
2025090200222,90,2025090200222_90_likely_bad.png,
2025072200179,3,2025072200179_3_likely_good.png,
2025071100788,167,2025071100788_167_likely_good.png,
2025071300241,32,2025071300241_32_likely_good.png,
2025090600364,159,2025090600364_159_likely_bad.png,
2025090600365,41,2025090600365_41_likely_bad.png,
2025091300630,10,2025091300630_10_likely_good.png,
2025050100551,175,2025050100551_175_likely_good.png,
2025070300616,174,2025070300616_174_likely_bad.png,
2025120200368,55,2025120200368_55_likely_good.png,
2025062000351,145,2025062000351_145_likely_good.png,
2025081600241,177,2025081600241_177_likely_good.png,
2025070700586,148,2025070700586_148_likely_good.png,
2025042900614,160,2025042900614_160_likely_good.png,
