visit,detector,filename,annotation
2025071300614,105,2025071300614_105_likely_bad.png,
2025110300250,166,2025110300250_166_likely_bad.png,
2025110100145,109,2025110100145_109_likely_bad.png,
2025070700416,143,2025070700416_143_likely_bad.png,
2025070700416,23,2025070700416_23_likely_bad.png,
2025063000444,96,2025063000444_96_likely_good.png,
2025122300403,115,2025122300403_115_likely_good.png,
2025071000258,102,2025071000258_102_likely_bad.png,
2025110100208,164,2025110100208_164_likely_good.png,
2025042800280,32,2025042800280_32_likely_good.png,
2025072200154,137,2025072200154_137_likely_bad.png,
2025070300424,102,2025070300424_102_likely_bad.png,
2025071000127,77,2025071000127_77_likely_good.png,
2026010400312,91,2026010400312_91_likely_good.png,
2025071200564,130,2025071200564_130_likely_good.png,
2025070200452,116,2025070200452_116_likely_good.png,
2025071500138,66,2025071500138_66_likely_bad.png,
2025102600336,112,2025102600336_112_likely_good.png,
2025102600336,38,2025102600336_38_likely_good.png,
2025070800491,184,2025070800491_184_likely_good.png,
2025072200033,42,2025072200033_42_likely_good.png,
2025070600259,73,2025070600259_73_likely_good.png,
2025070800387,37,2025070800387_37_likely_good.png,
2025071900369,106,2025071900369_106_likely_good.png,
2025070200597,156,2025070200597_156_likely_good.png,
2025042800481,116,2025042800481_116_likely_good.png,
2025071600475,110,2025071600475_110_likely_good.png,
2025071200678,95,2025071200678_95_likely_bad.png,
2025062000219,89,2025062000219_89_likely_bad.png,
2025071100788,4,2025071100788_4_likely_good.png,
2025050200399,129,2025050200399_129_likely_good.png,
2025050100551,160,2025050100551_160_likely_good.png,
2025110300250,82,2025110300250_82_likely_bad.png,
2025112900400,40,2025112900400_40_likely_good.png,
2025070700566,108,2025070700566_108_likely_good.png,
2025082600607,57,2025082600607_57_likely_good.png,
2025071200364,129,2025071200364_129_likely_good.png,
2025070700486,115,2025070700486_115_likely_bad.png,
2025070300667,171,2025070300667_171_likely_bad.png,
2025091900189,184,2025091900189_184_likely_bad.png,
2025070400538,176,2025070400538_176_likely_bad.png,
2025110800195,128,2025110800195_128_likely_good.png,
2025071700348,176,2025071700348_176_likely_bad.png,
2025072200105,54,2025072200105_54_likely_good.png,
2025062000219,8,2025062000219_8_likely_bad.png,
2025071300494,118,2025071300494_118_likely_bad.png,
2025091300630,7,2025091300630_7_likely_good.png,
2025110200233,36,2025110200233_36_likely_bad.png,
2025071000424,180,2025071000424_180_likely_bad.png,
2025071300591,25,2025071300591_25_likely_bad.png,
2025070700437,125,2025070700437_125_likely_bad.png,
2025052100143,63,2025052100143_63_likely_good.png,
2025050200784,98,2025050200784_98_likely_good.png,
